,trigram,chi-sq
0,"('etkililik', 'ekonomiklik', 'ilkelerinden')",562814412729.9033
1,"('mesleğinde', 'münasebetlerin', 'tanzimi')",417436431569.42395
2,"('vahdet', 'si̇nan', 'yerli̇kaya')",391444385192.3797
3,"('maliki', 'ejder', 'arvas')",343291433863.2306
4,"('nükhet', 'hotar', 'göksel')",327345175975.2329
5,"('isteme', 'butonuna', 'sönmeye')",312208809906.99664
6,"('yusuf', 'selahatti̇n', 'beyri̇bey')",273827954669.42355
7,"('edi̇p', 'safder', 'gaydali')",265819100510.22095
8,"('seçi̇mler', 'komi̇syonlarda', 'açik')",246932793543.02017
9,"('sorabilmeleri', 'şifrelerini', 'parmak')",239374749736.10385
10,"('tüyü', 'bitmemiş', 'yetimin')",196709428516.32867
11,"('yuvarlak', 'pul', 'mühürlü')",163095193717.82404
12,"('şifrelerini', 'parmak', 'izlerini')",142713309923.9472
13,"('branş', 'branş', 'branş')",140893131237.52582
14,"('açiklamalar', 'sataşmalara', 'i̇li̇şki̇n')",133922638173.74796
15,"('mamulleri', 'alkollü', 'i̇çkiler')",120404746300.67087
16,"('uygunluk', 'bildiriminin', 'sunulduğuna')",115256893219.31139
17,"('mükerrerliklerin', 'önlenmesinin', 'gereksiz')",113830201185.89166
18,"('kutusuna', 'oylamada', 'okunmayan')",113420472423.75598
19,"('ilkesinin', 'gerçekleşmesini', 'güçleştirici')",110633333784.82933
20,"('ayşe', 'gülsün', 'bilgehan')",103485016547.1112
21,"('vergilerde', 'çifte', 'vergilendirmeyi')",101743562551.55708
22,"('düğmelerine', 'basarak', 'salonda')",97268875275.60889
23,"('içdenetim', 'boyutunun', 'güçlendirilmiş')",95941812876.57631
24,"('tutulma', 'nedenlerle', 'engellenmemesi')",80574236530.46388
25,"('parlamentonun', 'olumsuzca', 'etkilenmesine')",75894549269.82874
26,"('butonuna', 'sönmeye', 'başlayan')",73805098999.41997
27,"('umuma', 'istirahat', 'eğlence')",73612944835.74252
28,"('oluşmaya', 'parlamentonun', 'olumsuzca')",67905649332.61198
29,"('zeynep', 'karahan', 'uslu')",66799271031.426926
30,"('fehmi̇', 'hüsrev', 'kutlu')",66606826182.25894
31,"('takibinin', 'güçleştiği', 'yolunda')",64507131000.10108
32,"('tevfi̇k', 'zi̇yaeddi̇n', 'akbulut')",63962915073.45938
33,"('i̇şbi̇rli̇ği̇', 'anlaşmasinin', 'onaylanmasinin')",61473025915.99128
34,"('kahramanmaraş', 'sütçü', 'i̇mam')",60283828589.451866
35,"('deği̇şi̇kli̇k', 'yapilmasina', 'dai̇r')",59845656235.30057
36,"('çifte', 'vergilendirmeyi', 'önleme')",59843272431.296455
37,"('i̇lişkilerinin', 'düzenlenmesi', '3620')",59178119291.77298
38,"('ayhan', 'zeynep', 'teki̇n')",58328276297.91687
39,"('deği̇şi̇kli̇k', 'yapilmasi', 'hakkinda')",56476499219.088715
40,"('isnat', 'olunan', 'eylemin')",56270903931.53164
41,"('sureti', 'ilişikte', '82')",56159011110.63109
42,"('1050', 'muhasebei', 'umumiye')",55850971365.29741
43,"('üvey', 'evlat', 'muamelesi')",53257556653.51888
44,"('köyü', 'tapulama', 'nakledilen')",53109361663.08584
45,"('karaotlak', 'köyü', 'tapulama')",48946658578.39238
46,"('zeynep', 'damla', 'gürel')",47665461845.12071
47,"('sözcüsü', 'sabahatti̇n', 'yildiz')",47304806975.31608
48,"('adlar', 'i̇lave', 'ödemesi')",44268359957.60426
49,"('dayanağa', 'belediyelere', 'genişleyen')",40585723633.4101
50,"('oyunun', 'rengini', 'kendisinin')",39716522853.81313
51,"('operasyonel', 'esnekliğinin', 'değişen')",38980327408.350235
52,"('sorguya', 'tutulma', 'nedenlerle')",38915168250.86478
53,"('soruşturmasi', 'mecli̇s', 'araştirmasi')",38901109311.44646
54,"('i̇dri̇s', 'nai̇m', 'şahi̇n')",38017453746.867256
55,"('tabi̇i̇', 'bi̇lgi̇', 'teknoloji̇')",37011655273.44178
56,"('feri̇dun', 'fi̇kret', 'baloğlu')",36833432604.31415
57,"('birliğinin', 'etkililik', 'ekonomiklik')",36433063215.473915
58,"('beraberindeki', 'heyete', 'denilmesi')",34392184959.049286
59,"('başkani', 'sai̇t', 'açba')",33831490429.189426
60,"('olunan', 'eylemin', 'niteliğini')",32705117477.07226
61,"('ileri', 'sürdükleri', 'oturumdaki')",32049819536.023388
62,"('mecli̇s', 'araştirmasi', 'önergeleri̇')",31941602860.903866
63,"('yönlendirmeler', 'anayasaya', 'bezenmiş')",30977101708.005573
64,"('rengini', 'kendisinin', 'ad')",30380741872.68549
65,"('içme', 'suyu', 'tahlillerinin')",30076036107.253735
66,"('türki̇ye', 'cumhuri̇yeti̇', 'hükümeti̇')",29571964545.179115
67,"('mi̇llet', 'mecli̇si̇', 'tutanak')",28760812624.32745
68,"('daniş', 'i̇brahim', 'gelibolu')",28447436004.808826
69,"('komisyonumuz', 'isnat', 'olunan')",28082685262.74537
70,"('oturum', 'başkanlarinin', 'konuşmalari')",27971808752.61118
71,"('yazili', 'sorular', 'cevaplari')",27630273444.19962
72,"('sözcüsü', 'remzi̇ye', 'öztoprak')",27274230375.084984
73,"('cumhuri̇yeti̇', 'hükümeti̇', 'arasinda')",27215773548.726776
74,"('ergene', 'nehrindeki', 'kirliliğin')",27003718030.759533
75,"('temininde', 'güçlük', 'çekilen')",26993456512.734394
76,"('seydişehir', 'eti', 'alüminyum')",26430436834.749504
77,"('sataşmalara', 'i̇li̇şki̇n', 'konuşmalar')",25202955475.00558
78,"('gerektirdiği', 'giderecek', 'esneklikler')",25001895659.49283
79,"('yardimcisi', 'abdüllati̇f', 'şener')",24437519728.895657
80,"('abant', 'i̇zzet', 'baysal')",24389532251.21768
81,"('pul', 'mühürlü', 'zarf')",24270591477.67223
82,"('tekrarlamak', 'vurmaktan', 'sorumlu')",24138884652.53698
83,"('tekli̇fleri̇', 'i̇le', 'komi̇syonlardan')",23732756362.29253
84,"('oluşturulan', 'rektörlüğe', 'bağlanan')",23466998140.394165
85,"('yili', 'tutanak', 'dergi̇si̇')",23400048412.978813
86,"('tasari', 'tekli̇fleri̇', 'i̇le')",23379892182.909496
87,"('makine', 'kimya', 'endüstrisi')",23337249389.777893
88,"('bildiriminde', 'rüşvet', 'yolsuzluklarla')",22933633114.027866
89,"('hükümlerine', 'i̇stinaden', 'i̇şlemleri')",22865688286.976288
90,"('mecli̇s', 'soruşturmasi', 'mecli̇s')",22333074050.969906
91,"('gülhane', 'askeri', 'akademisi')",22328012876.58121
92,"('mühürlü', 'ad', 'defterine')",22309275608.263668
93,"('program', 'kodu', '101')",22218626060.183243
94,"('i̇lerleme', 'raporundaki', 'bölümüne')",21983607046.94788
95,"('bi̇lgi̇', 'teknoloji̇', 'komi̇syonu')",21650006769.125053
96,"('milletvekillerinin', 'aklanma', 'engellememesi')",21001814966.154537
97,"('orhan', 'seyfi̇', 'terzi̇başioğlu')",20872209524.80876
98,"('ersümer', 'zeki', 'çakan')",20783002357.075436
99,"('nehrindeki', 'kirliliğin', 'çevreye')",20624911417.832027
