,bigram,chi-sq
0,"('afi̇f', 'demi̇rkiran')",8518355.0
1,"('azi̇ze', 'si̇bel')",8518355.0
2,"('bi̇hlun', 'tamayligi̇l')",8518355.0
3,"('cahi̇t', 'bağci')",8518355.0
4,"('sadi̇', 'bi̇lgi̇ç')",8518355.0
5,"('selahatti̇n', 'demi̇rtaş')",8518355.0
6,"('seracetti̇n', 'karayağiz')",8518355.0
7,"('sirri', 'sakik')",8518355.0
8,"('tevfi̇k', 'zi̇yaeddi̇n')",8518355.0
9,"('şerafetti̇n', 'hali̇s')",8518355.0
10,"('mi̇llet', 'mecli̇si̇')",8491817.07161364
11,"('lütfi̇', 'çirakoğlu')",8430535.91751462
12,"('bi̇lgi̇n', 'paçariz')",8407724.051868794
13,"('salman', 'kotan')",8280578.318348991
14,"('otomatik', 'cihaz')",8207359.342623249
15,"('nuretti̇n', 'cani̇kli̇')",8179070.403208555
16,"('ayla', 'akat')",8136581.35576156
17,"('teki̇n', 'bi̇ngöl')",8131153.227235074
18,"('cemi̇l', 'çi̇çek')",8105200.2835947685
19,"('alaatti̇n', 'büyükkaya')",8015656.19999015
20,"('süreyya', 'sadi̇')",8003990.598271584
21,"('nevin', 'gaye')",7907979.384937715
22,"('peş', 'peşe')",7898834.563614157
23,"('hami̇t', 'geylani̇')",7887352.777511463
24,"('rasi̇m', 'çakir')",7681504.099277571
25,"('fatoş', 'gürkan')",7572374.775276761
26,"('maddeleri̇', 'bölümdeki̇')",7568364.618369977
27,"('zi̇ya', 'di̇ren')",7554007.603744227
28,"('sanayi̇', 'ti̇caret')",7550522.77473489
29,"('sai̇t', 'açba')",7491508.360610255
30,"('bi̇lgi̇', 'teknoloji̇')",7465660.578495147
31,"('mecli̇s', 'araştirmasi')",7445162.432888639
32,"('enine', 'boyuna')",7413049.7024292955
33,"('antidepresan', 'antipsikotik')",7309048.305340323
34,"('oktay', 'vural')",7264775.304135117
35,"('erteki̇n', 'çolak')",7232545.188356298
36,"('beki̇r', 'bozdağ')",6891606.869830058
37,"('enerji̇', 'tabi̇i̇')",6784892.364758081
38,"('mücahi̇t', 'findikli')",6764559.352782601
39,"('sataşmalara', 'i̇li̇şki̇n')",6737219.354657621
40,"('nusret', 'bayraktar')",6685757.134653361
41,"('suha', 'okay')",6651162.903902147
42,"('nursuna', 'memecan')",6625379.444412487
43,"('asim', 'aykan')",6599306.920911466
44,"('ni̇met', 'çubukçu')",6579223.910331715
45,"('apar', 'topar')",6566215.020686013
46,"('i̇lknur', 'i̇nceöz')",6542994.158106449
47,"('ali̇m', 'işik')",6514718.798968204
48,"('kürşad', 'tüzmen')",6500852.971870121
49,"('recai̇', 'berber')",6431154.7741453
50,"('akin', 'bi̇rdal')",6358118.867915393
51,"('hali̇de', 'i̇ncekara')",6343446.9148569
52,"('i̇smai̇l', 'bi̇len')",6285930.475509834
53,"('ecri', 'misil')",6284609.492485056
54,"('sedat', 'kizilcikli')",6267021.020111944
55,"('ridvan', 'yalçin')",6257304.1241593165
56,"('fahretti̇n', 'poyraz')",6182615.320951056
57,"('burhan', 'kuzu')",6158375.188837659
58,"('i̇sa', 'gök')",6151728.01697699
59,"('feyzullah', 'kiyiklik')",6127214.789252109
60,"('ali̇ye', 'kavaf')",6084513.571156886
61,"('fehmi̇', 'ki̇nay')",6021781.973832825
62,"('i̇le', 'komi̇syonlardan')",5996840.086593697
63,"('mevlüt', 'aslanoğlu')",5981893.213885617
64,"('cinsiyetin', 'gözetilmesine')",5973899.610336408
65,"('şükran', 'güldal')",5968328.227158272
66,"('vahi̇t', 'ki̇ri̇şci̇')",5885350.180508254
67,"('muhyetti̇n', 'aksak')",5847695.777784751
68,"('azize', 'sibel')",5805359.000032992
69,"('kerem', 'altun')",5793409.377244956
70,"('ülkü', 'gökalp')",5693937.103139032
71,"('tekli̇fleri̇', 'i̇le')",5621503.694567013
72,"('ufuk', 'uras')",5615259.388993456
73,"('di̇ğer', 'i̇şler')",5608511.848232319
74,"('tevfik', 'ziyaeddin')",5418907.756946543
75,"('derviş', 'günday')",5410117.023542828
76,"('sebahat', 'tuncel')",5374988.882719214
77,"('tasari', 'tekli̇fleri̇')",5357935.712882116
78,"('zekeri̇ya', 'akinci')",5334419.9551927075
79,"('lutfi̇', 'elvan')",5278930.365419318
80,"('abdülhadi̇', 'kahya')",5258627.439333206
81,"('i̇hsan', 'köktürk')",5258165.005889199
82,"('sevahi̇r', 'bayindir')",5213851.184315956
83,"('ünal', 'kacir')",5130443.906102233
84,"('necati̇', 'özensoy')",5115958.6914466005
85,"('tarim', 'köyi̇şleri̇')",5093506.6741589
86,"('zi̇yaeddi̇n', 'akbulut')",5003719.634996577
87,"('sütçü', 'i̇mam')",4965439.640493562
88,"('omuz', 'omuza')",4959632.225309778
89,"('suat', 'kiliç')",4932073.105244228
90,"('i̇dri̇s', 'güllüce')",4927490.070945516
91,"('emine', 'ayna')",4912453.509576563
92,"('faili', 'meçhul')",4881784.616454099
93,"('opera', 'balesi')",4873577.731190992
94,"('işgalinden', 'kurtuluşunun')",4853419.63852305
95,"('odalar', 'borsalar')",4810572.067772981
96,"('araştirmasi', 'önergeleri̇')",4795302.149230453
97,"('tunca', 'toskay')",4778716.632166346
98,"('tüyü', 'bitmemiş')",4739917.888998383
99,"('algan', 'hacaloğlu')",4728287.693795679
