,trigram,PMI
0,"('ölçekli̇', 'i̇şletmeleri̇', 'geli̇şti̇rme')",34.51277889146547
1,"('eyüp', 'i̇lçesinin', 'eyüpsultan')",33.555466955033026
2,"('lütfi̇ye', 'i̇lksen', 'ceri̇toğlu')",33.167999857450084
3,"('vaki', 'davetine', 'icabetle')",33.04516756398803
4,"('düzeni̇', 'güvenli̇ği̇', 'müsteşarliği')",32.71909890630495
5,"('i̇sti̇hbarat', 'teşki̇lati', 'müsteşarliği')",32.64931057614808
6,"('i̇laç', 'tibbi̇', 'ci̇haz')",32.56257325416921
7,"('i̇şbi̇rli̇ği̇', 'koordi̇nasyon', 'ajansi')",32.50390716313028
8,"('i̇li', 'eyüp', 'i̇lçesinin')",32.428355037129684
9,"('bi̇li̇msel', 'teknoloji̇k', 'araştirma')",32.38597386205289
10,"('ad', 'defterine', 'işaretlettikten')",32.247652106670444
11,"('büyükbaş', 'kümes', 'üretimle')",32.203412113164475
12,"('abant', 'i̇zzet', 'baysal')",32.17349010738245
13,"('tüyü', 'bitmemiş', 'yetimin')",32.02817207772853
14,"('yükseköğreni̇m', 'kredi̇', 'yurtlar')",32.02638022522791
15,"('lütfiye', 'i̇lksen', 'ceritoğlu')",31.80384470777541
16,"('radi̇ye', 'sezer', 'katircioğlu')",31.737485178640178
17,"('vergilerde', 'çifte', 'vergilendirmeyi')",31.567555929285703
18,"('seli̇n', 'sayek', 'böke')",31.3828977422396
19,"('düğmelerine', 'basarak', 'salonda')",31.18067899152083
20,"('bi̇lgi̇', 'teknoloji̇leri̇', 'i̇leti̇şi̇m')",31.127574640294565
21,"('muhasebe', 'deneti̇m', 'standartlari')",31.11379635993565
22,"('i̇şletmeleri̇', 'geli̇şti̇rme', 'destekleme')",31.033309519591633
23,"('uygulanacak', 'i̇şlemler', '6785')",30.930156623213616
24,"('i̇şlemler', '6785', 'i̇mar')",30.897976217464468
25,"('görüşülmesi', 'bölümlerinin', 'ekteki')",30.742502187727315
26,"('koordi̇nasyon', 'ajansi', 'başkanliği')",30.55467027681217
27,"('selin', 'sayek', 'böke')",30.537225888630893
28,"('gecekondu', 'uygulanacak', 'i̇şlemler')",30.482697646242393
29,"('doldurmuş', 'güçsüz', 'kimsesiz')",30.478928877925526
30,"('i̇zzet', 'ulvi̇', 'yönter')",30.437499636633483
31,"('dönüştürülmesi', '2981', 'gecekondu')",30.34005239576582
32,"('2981', 'gecekondu', 'uygulanacak')",30.130260011209003
33,"('britanya', 'kuzey', 'i̇rlanda')",30.099234475120426
34,"('anlam', 'öneminin', 'belirtilmesi')",30.08362777278748
35,"('gülmen', 'semih', 'özakça')",30.040326153454025
36,"('sahi̇l', 'güvenli̇k', 'komutanliği')",29.927816390744322
37,"('mi̇hri̇mah', 'belma', 'satir')",29.869341541885568
38,"('süleyman', 'sencer', 'ayata')",29.86148762002498
39,"('tutukevleri̇', 'i̇ş', 'yurtlari')",29.783496071926685
40,"('muhammet', 'riza', 'yalçinkaya')",29.755044174208543
41,"('türki̇ye', 'bi̇li̇msel', 'teknoloji̇k')",29.727844948769764
42,"('seçme', 'yerleşti̇rme', 'merkezi̇')",29.65761657852574
43,"('emi̇ne', 'yavuz', 'gözgeç')",29.556975060142722
44,"('teşki̇lati', 'müsteşarliği', 'i̇stihbarat')",29.556201171756605
45,"('gizlilik', 'dereceli', 'bilginin')",29.435911594180237
46,"('i̇yileştirilmesi', 'i̇cra', 'i̇flas')",29.429504915744953
47,"('i̇zzet', 'ulvi', 'yönter')",29.399229619705768
48,"('ticari', 'i̇şlemlerde', 'rehni')",29.369374572036815
49,"('çifte', 'vergilendirmeyi', 'önleme')",29.367531320977715
50,"('i̇mam', 'nimetullah', 'erdoğmuş')",29.333192606029343
51,"('düşünülüp', 'düşünülmediğini', 'öğrenmek')",29.319577729314013
52,"('nuriye', 'gülmen', 'semih')",29.274447867372576
53,"('kurumlari', 'i̇le', 'tutukevleri̇')",29.256034415470438
54,"('i̇dare', 'mahkemelerinin', 'i̇şleyişinde')",29.170023625524674
55,"('yusuf', 'selahatti̇n', 'beyri̇bey')",29.160958169686502
56,"('bölümler', 'görüşülecek', 'bölümlerde')",29.124675501898086
57,"('i̇lksen', 'ceri̇toğlu', 'kurt')",29.12011252805353
58,"('oğuz', 'kaan', 'salici')",29.06338762606584
59,"('yerleşti̇rme', 'merkezi̇', 'başkanliği')",29.036433889891832
60,"('elini', 'kolunu', 'sallayarak')",29.03079079130722
61,"('türki̇ye', 'bi̇li̇mler', 'akademi̇si̇')",28.98729501725452
62,"('2022', '65', 'doldurmuş')",28.959270335298342
63,"('alican', 'önlü', 'nadir')",28.899180522783425
64,"('yurtdişi', 'türkler', 'akraba')",28.853282618445842
65,"('hudut', 'sahi̇ller', 'sağlik')",28.835649957076207
66,"('veki̇li̇', 'hakki', 'köylü')",28.834886260158264
67,"('nimetullah', 'erdoğmuş', 'nursel')",28.82535159539455
68,"('arap', 'denizi', 'mücavir')",28.824795102932303
69,"('veki̇li̇', 'burhanetti̇n', 'uysal')",28.80286726399754
70,"('riski', 'dönüştürülmesi', '2981')",28.76976205291849
71,"('dirayet', 'dilan', 'taşdemir')",28.759642959008215
72,"('i̇şbi̇rli̇ği̇', 'anlaşmasinin', 'onaylanmasinin')",28.745435920991362
73,"('65', 'doldurmuş', 'güçsüz')",28.718438646879665
74,"('di̇rayet', 'di̇lan', 'taşdemi̇r')",28.711719375939353
75,"('zülfi̇kar', 'i̇nönü', 'tümer')",28.674004919177122
76,"('türkler', 'akraba', 'topluluklar')",28.65006829879327
77,"('418', 'ticari', 'i̇şlemlerde')",28.615335464511666
78,"('uca', 'i̇mam', 'nimetullah')",28.599554126638303
79,"('6785', 'i̇mar', 'kanununun')",28.590670156941947
80,"('denizi', 'mücavir', 'bölgelerde')",28.57093921421105
81,"('i̇nsan', 'haklari', 'eşi̇tli̇k')",28.54547105453293
82,"('6306', 'riski', 'dönüştürülmesi')",28.4542785505014
83,"('orta', 'ölçekli̇', 'i̇şletmeleri̇')",28.42052038361349
84,"('pulunun', 'bulunduğu', 'kürsüsünün')",28.38582551527521
85,"('yuvarlak', 'pul', 'oylamaya')",28.383675362571946
86,"('emi̇ne', 'nur', 'günay')",28.375331992187256
87,"('aci̇l', 'durum', 'yöneti̇mi̇')",28.328003713705776
88,"('toprak', 'mahsulleri', 'ofisinin')",28.321678480232663
89,"('önlü', 'nadir', 'tuğba')",28.300385748882704
90,"('konya', 'ovasi', 'projesi̇')",28.296071744490572
91,"('gamze', 'akkuş', 'i̇lgezdi̇')",28.281449710125738
92,"('abdullah', 'nejat', 'koçer')",28.243529597032683
93,"('uyumunun', 'eki', 'mutabakat')",28.2122641642475
94,"('yazili', 'sorular', 'cevaplari')",28.20006714546642
95,"('veki̇li̇', 'harun', 'karacan')",28.178747292284083
96,"('geli̇şti̇rme', 'destekleme', 'i̇daresi̇')",28.141292200464644
97,"('hazi̇ne', 'müsteşarliği', 'hazine')",28.131684926589696
98,"('gamze', 'akkuş', 'i̇lgezdi')",28.11733033036462
99,"('nadir', 'tuğba', 'hezer')",28.11376445856808
