,bigram,PMI
0,"('neci̇p', 'nasir')",17.830490242498435
1,"('nevi̇n', 'taşliçay')",17.73738083810695
2,"('i̇şletmeleri̇', 'geli̇şti̇rme')",17.64991799685661
3,"('ölçekli̇', 'i̇şletmeleri̇')",17.64991799685661
4,"('bi̇li̇msel', 'teknoloji̇k')",17.608097821161984
5,"('vahi̇t', 'ki̇ler')",17.567455836664635
6,"('ci̇han', 'pektaş')",17.527927472477998
7,"('si̇vi̇l', 'havacilik')",17.527927472477998
8,"('tacetti̇n', 'bayir')",17.489453324663366
9,"('tibbi̇', 'ci̇haz')",17.489453324663362
10,"('nusretti̇n', 'maçi̇n')",17.4519786192447
11,"('mesleki̇', 'yeterli̇li̇k')",17.311116083404848
12,"('selahatti̇n', 'mi̇nsolmaz')",17.311116083404848
13,"('yediden', 'yetmişe')",17.267060903326914
14,"('sali̇he', 'aydeni̇z')",17.245527741777273
15,"('jüli̇de', 'i̇skenderoğlu')",17.09352464833222
16,"('fatin', 'rüştü')",17.084196846177107
17,"('gecesini', 'gündüzüne')",17.08202900949439
18,"('haklari', 'eşi̇tli̇k')",17.064955496135454
19,"('ki̇şi̇sel', 'veri̇leri̇')",17.064955496135454
20,"('tutukevleri̇', 'i̇şyurtlari')",17.064955496135454
21,"('meli̇ha', 'akyol')",17.036941119965853
22,"('sorgusuz', 'sualsiz')",17.02409424041025
23,"('artos', 'çarparak')",17.023135320440822
24,"('sabahat', 'özgürsoy')",17.004834503697882
25,"('ekteki', 'cetveldeki')",16.958938607964583
26,"('ni̇hat', 'yeşi̇l')",16.95602112458229
27,"('salihe', 'aydeniz')",16.90449082394221
28,"('davetine', 'icabetle')",16.89350004002423
29,"('nesli̇han', 'hancioğlu')",16.854737788745105
30,"('deneti̇m', 'standartlari')",16.806643500544062
31,"('i̇sti̇hbarat', 'teşki̇lati')",16.73410570607409
32,"('adi̇l', 'karai̇smai̇loğlu')",16.692986718748493
33,"('har', 'vurup')",16.68130491370086
34,"('seyi̇t', 'torun')",16.671291647649177
35,"('dilimizde', 'tüy')",16.655823428929047
36,"('i̇şbi̇rli̇ği̇', 'koordi̇nasyon')",16.64991799685661
37,"('peş', 'peşe')",16.64991799685661
38,"('vehbi̇', 'bakirlioğlu')",16.60809782116198
39,"('bedia', 'özgökçe')",16.597829485708154
40,"('hali̇s', 'dalkiliç')",16.587633718602262
41,"('koordi̇nasyon', 'ajansi')",16.567455836664635
42,"('new', 'york')",16.567455836664635
43,"('sağa', 'sola')",16.567455836664635
44,"('sabiha', 'gökçen')",16.523709537272563
45,"('habi̇b', 'soluk')",16.508562147611066
46,"('ci̇hat', 'sezal')",16.470594297412045
47,"('hi̇dayet', 'vahapoğlu')",16.4519786192447
48,"('ulvi̇', 'yönter')",16.451978619244695
50,"('yükseköğreti̇m', 'kali̇te')",16.397530835222327
49,"('müteaddit', 'defalar')",16.397530835222327
51,"('vurup', 'harman')",16.37719216804424
52,"('ebru', 'timtik')",16.37397610724343
53,"('nuretti̇n', 'cani̇kli̇')",16.362341406760024
54,"('zemzem', 'gülender')",16.36234140676002
55,"('özgökçe', 'ertan')",16.35132240579987
56,"('derya', 'bakbak')",16.345063415328184
57,"('gülender', 'açanal')",16.3423541280702
58,"('dilşat', 'canbaz')",16.321979802215147
59,"('şerbetini', 'içen')",16.245527741777273
60,"('teknoloji̇leri̇', 'i̇leti̇şi̇m')",16.229586197908247
61,"('sai̇t', 'ki̇razoğlu')",16.213818882049935
62,"('sayek', 'böke')",16.213818882049935
63,"('seli̇n', 'sayek')",16.213818882049935
64,"('denizlerle', 'çevrili')",16.199724052164143
65,"('hazi̇ne', 'mali̇ye')",16.141191081962535
66,"('cemi̇l', 'yaman')",16.12267099399174
67,"('havai', 'fişek')",16.118471005462453
68,"('nazim', 'mavi̇ş')",16.10802421802734
69,"('akkuş', 'i̇lgezdi̇')",16.093524648332227
70,"('saçma', 'sapan')",16.093524648332227
71,"('ovasi', 'projesi̇')",16.064955496135454
72,"('sebahat', 'tuncel')",16.06414748993069
73,"('abdulkadi̇r', 'karaduman')",16.02068384144673
74,"('anlaşmasinin', 'onaylanmasinin')",15.996299135468508
75,"('feleknas', 'uca')",15.980328751830159
76,"('enine', 'boyuna')",15.976075862391053
77,"('ebet', 'müddet')",15.970628113587303
78,"('şenel', 'yedi̇yildiz')",15.969196513330022
79,"('deyim', 'yerindeyse')",15.949134738997046
80,"('tabiri', 'caizse')",15.93002591604934
81,"('nusrettin', 'maçin')",15.917201875691763
82,"('müşerref', 'pervi̇n')",15.88313578388682
83,"('şehadet', 'şerbetini')",15.85473778874511
84,"('candan', 'yüceer')",15.839001742353947
85,"('apar', 'topar')",15.829266252185546
86,"('canla', 'başla')",15.827845521242866
87,"('refik', 'saydam')",15.824338015516835
88,"('tüyü', 'bitmemiş')",15.811720438478586
89,"('ete', 'kemiğe')",15.80846393616843
90,"('delik', 'deşik')",15.794866332767706
91,"('remziye', 'tosun')",15.770154579270956
92,"('2053', '2071')",15.769258942821269
93,"('efkan', 'ala')",15.738405843507714
94,"('abdul', 'ahat')",15.737380838106947
95,"('ahat', 'andi̇can')",15.737380838106946
96,"('abesle', 'iştigal')",15.723918578300388
97,"('necati̇', 'tiğli')",15.715013025078497
98,"('rauf', 'denktaş')",15.71434059670888
99,"('nuri̇', 'gülaçar')",15.70474468962467
