,bigram,chi-sq
0,"('adi̇l', 'aşirim')",4178290.0
1,"('hi̇lmi̇', 'develi̇')",4178290.0
2,"('nai̇mi̇', 'barim')",4178290.0
3,"('sitki', 'cengi̇l')",4178290.0
4,"('bedri̇', 'i̇ncetahtaci')",4151332.296737573
5,"('zekeri̇ya', 'temi̇zel')",4149272.110975154
6,"('tekli̇fleri̇yle', 'komi̇syonlardan')",4131570.5254839947
7,"('selahatti̇n', 'beyri̇bey')",4127948.16865531
8,"('tasari', 'tekli̇fleri̇yle')",4116836.675459293
9,"('feri̇dun', 'pehli̇van')",4115926.47759638
10,"('cengi̇z', 'altinkaya')",4108064.672213844
11,"('şadan', 'tuzcu')",4046692.699155556
12,"('naci̇', 'terzi̇')",4041294.950792356
13,"('tarim', 'köyi̇şleri̇')",3993334.7317946064
14,"('ataullah', 'hamidi')",3971540.987765458
15,"('göksal', 'küçükali')",3950935.549317681
16,"('işilay', 'saygin')",3917144.062469709
17,"('seyyit', 'haşim')",3883484.9215298155
18,"('haşim', 'haşimi')",3827234.5129309925
19,"('hamdi̇', 'üçpinarlar')",3816698.9901976907
20,"('haci', 'fi̇li̇z')",3815481.0741642863
21,"('otomatik', 'cihaz')",3809206.5787077616
22,"('naim', 'geylani')",3796387.832708551
23,"('cefi', 'jozef')",3780980.522952426
24,"('ejder', 'arvas')",3765597.7519526696
25,"('bi̇lgi̇', 'teknoloji̇')",3760457.399968982
26,"('jozef', 'kamhi')",3743077.0299889543
27,"('abbas', 'i̇nceayan')",3681269.1930222968
28,"('sebgetullah', 'seydaoğlu')",3672584.2554968325
29,"('sanayi̇', 'ti̇caret')",3656894.563370673
30,"('gencay', 'gürün')",3609110.6819009287
31,"('zülfü', 'çimen')",3600434.9680139655
32,"('enine', 'boyuna')",3599573.595911039
33,"('mi̇llet', 'mecli̇si̇')",3591856.4560596994
34,"('tamer', 'kanber')",3587519.082508926
35,"('nihan', 'i̇lgün')",3582184.2924269433
36,"('oylamasi', 'yapilacak')",3561813.3113799267
37,"('bildiriminin', 'sunulduğuna')",3548620.179184481
38,"('bi̇lteki̇n', 'özdemi̇r')",3542774.7698509553
39,"('mukadder', 'başeğmez')",3528012.648499241
40,"('maliki', 'ejder')",3518524.629685601
41,"('sezal', 'özbek')",3514297.534466509
42,"('ümran', 'akkan')",3505659.530567497
43,"('hanifi', 'demirkol')",3482103.9592199326
44,"('ertan', 'yülek')",3467271.7075111587
45,"('ferit', 'bora')",3457392.0734394314
46,"('algan', 'hacaloğlu')",3418454.289496943
47,"('mümtaz', 'soysal')",3407780.3118479666
48,"('nejat', 'arseven')",3401851.574337788
49,"('düşünülüp', 'düşünülmediğine')",3392890.1052002115
50,"('mete', 'bülgün')",3389660.54444317
51,"('hayretti̇n', 'di̇lekcan')",3316092.8570193904
52,"('gökhan', 'çapoğlu')",3267646.27147548
53,"('yaman', 'törüner')",3203312.731442588
54,"('cumhur', 'ersümer')",3193904.6824158262
55,"('bölümlerine', 'geçilmesini')",3190883.708759841
56,"('üyeli̇klere', 'seçi̇m')",3173355.948538187
57,"('i̇htiyar', 'heyetleri')",3103321.3178874375
58,"('safa', 'giray')",3088221.691092459
59,"('rasim', 'zaimoğlu')",3077825.9761082865
60,"('seyit', 'eyyüpoğlu')",3066919.8465247946
61,"('evren', 'bulut')",3055852.636655589
62,"('lale', 'aytaman')",3044882.806996129
63,"('nurhan', 'tekinel')",3043493.252073322
64,"('faili', 'meçhul')",3034872.649182152
65,"('hayri̇', 'kozakçioğlu')",3031298.2744198614
66,"('komi̇syonu', 'başkani')",3029720.839701159
67,"('teklifleriyle', 'komisyonlardan')",3023655.381387109
68,"('sataşmalara', 'i̇li̇şki̇n')",3017630.1317001944
69,"('latif', 'öztek')",2926550.9578016885
70,"('gürcan', 'dağdaş')",2916947.3039416405
71,"('birleşmiş', 'milletler')",2913251.240081257
72,"('salim', 'ensarioğlu')",2907824.8816228653
73,"('eyyüp', 'cenap')",2899825.125905263
74,"('amerika', 'birleşik')",2893493.888834776
75,"('zülfükar', 'i̇zol')",2881747.9627996627
76,"('hadi', 'dilekçi')",2862844.164087857
77,"('fethi', 'acar')",2856077.193388211
78,"('i̇zzet', 'baysal')",2850237.2119879723
79,"('şevket', 'kazan')",2841447.2631055126
80,"('zerrin', 'yeniceli')",2817841.379427294
81,"('suat', 'pamukçu')",2813159.9653507904
82,"('fehim', 'adak')",2804422.792192304
83,"('ni̇hat', 'matkap')",2794786.004719937
84,"('miraç', 'akdoğan')",2789840.2232938576
85,"('sali̇h', 'kapusuz')",2788880.598522131
86,"('oltan', 'sungurlu')",2786102.5377791696
87,"('halkla', 'i̇lişkiler')",2782309.262576161
88,"('yüzme', 'havuzu')",2728662.490671729
89,"('uygunluk', 'bildiriminin')",2726284.956266629
90,"('erdal', 'kesebir')",2704673.2651080894
91,"('fethullah', 'erbaş')",2686240.21039031
92,"('nafiz', 'kurt')",2678897.9690424735
93,"('üyeliğinden', 'çekildiğine')",2675831.961483082
94,"('ayseli', 'göksoy')",2667226.5711388956
95,"('sadi', 'somuncuoğlu')",2662645.655127911
96,"('değiştirilerek', 'kabulüne')",2630717.0785821676
97,"('uluç', 'gürkan')",2629951.779982956
98,"('millet', 'meclisi')",2626451.2715328247
99,"('şeref', 'malkoç')",2614879.9613808696
