,trigram,PMI
0,"('mahalle', 'i̇htiyar', 'heyetleri')",30.191491588200975
1,"('abant', 'i̇zzet', 'baysal')",29.952301467685672
2,"('6136', 'ateşli', 'silahlar')",29.691006341561593
3,"('seçi̇mler', 'komi̇syonlarda', 'açik')",29.46047423833191
4,"('cefi', 'jozef', 'kamhi')",29.20914456564065
5,"('vergilerde', 'çifte', 'vergilendirmeyi')",29.079374903903684
6,"('1076', 'yedek', 'subaylar')",28.976340814951524
7,"('2911', 'gösteri', 'yürüyüşleri')",28.81843425847514
8,"('ülkesi', 'milletiyle', 'bölünmez')",28.809140518376072
9,"('durmuş', 'fi̇kri̇', 'sağlar')",28.645790334677866
10,"('uygunluk', 'bildiriminin', 'sunulduğuna')",28.641208167212167
11,"('i̇htiyar', 'heyetleri', 'seçimi')",28.616582752143742
13,"('çimen', 'tevfik', 'demirbağ')",28.577295518003176
12,"('zülfü', 'çimen', 'tevfik')",28.577295518003176
14,"('komisyonunca', 'ibra', 'edilmeyen')",28.557620388804168
15,"('bi̇lgi̇', 'teknoloji̇', 'komi̇syonu')",28.549576718464852
16,"('tahsi̇n', 'boray', 'baycik')",28.5251187636136
17,"('1050', 'muhasebei', 'umumiye')",28.413392049401235
18,"('eyyüpoğlu', 'eyyüp', 'cenap')",28.39355556331033
19,"('sait', 'halim', 'paşa')",28.291225720039474
20,"('bildiriminde', 'rüşvet', 'yolsuzluklarla')",28.286973738496233
21,"('seyit', 'eyyüpoğlu', 'eyyüp')",28.263819041846908
22,"('giray', 'tamer', 'kanber')",28.222062069616133
23,"('seyyit', 'haşim', 'haşimi')",28.16418842606599
24,"('maliki', 'ejder', 'arvas')",28.078524636985073
25,"('makine', 'kimya', 'endüstrisi')",27.94852496960398
26,"('safa', 'giray', 'tamer')",27.948156491863834
27,"('edi̇rne', 'ümran', 'akkan')",27.931401074202817
28,"('nurettin', 'akgül', 'dursun')",27.883451364849094
29,"('bora', 'salim', 'ensarioğlu')",27.857822083496085
30,"('mardi̇n', 'fehim', 'adak')",27.778049466911504
31,"('çilsal', 'ayvaz', 'gökdemir')",27.771222374469193
32,"('oylamasi', 'yapilacak', 'i̇şler')",27.767054358015656
33,"('göksal', 'küçükali', 'menderes')",27.760388748148785
34,"('ferit', 'bora', 'salim')",27.73909000109733
35,"('salim', 'ensarioğlu', 'sacit')",27.644457680051264
36,"('yaman', 'törüner', 'kubilay')",27.64183822683376
37,"('i̇limen', 'erdal', 'kesebir')",27.61944082240996
38,"('çifte', 'vergilendirmeyi', 'önleme')",27.58253175083165
39,"('saracoglu', 'serdaroğlu', 'süha')",27.5776623741373
40,"('6183', 'amme', 'tahsil')",27.559166187267056
41,"('ki̇t', 'komisyonunca', 'ibra')",27.523174569752875
42,"('ibra', 'edilmeyen', 'etibank')",27.511110947870794
43,"('i̇lişkilerinin', 'düzenlenmesi', '3620')",27.499893220049582
44,"('kadroya', 'atanarak', 'mağdur')",27.497330711283478
45,"('diker', 'ayseli', 'göksoy')",27.45274737930022
46,"('reddedenler', 'çekimserler', 'mükerrer')",27.449046319195524
47,"('çankiri', 'mete', 'bülgün')",27.446899148513484
48,"('ümran', 'akkan', 'evren')",27.415438579342037
49,"('erdal', 'kesebir', 'elaziğ')",27.39258788432677
50,"('ömer', 'nai̇mi̇', 'barim')",27.366452940217062
51,"('akkan', 'evren', 'bulut')",27.307016119456048
52,"('nuri', 'yabuz', 'ağri')",27.300031378520025
53,"('yanmaz', 'muhsin', 'şanliurfa')",27.273517217520528
54,"('i̇smai̇l', 'safa', 'gi̇ray')",27.22214882643012
55,"('safder', 'kamran', 'i̇nan')",27.208198959557766
56,"('subaylar', 'yedek', 'memurlar')",27.162339431194805
57,"('hükümleri', 'seçmen', 'kütükleri')",27.159741696973192
58,"('bi̇leci̇k', 'şerif', 'çim')",27.11868692851336
59,"('şirnak', 'bayar', 'ökten')",27.02940970363642
60,"('hamdi', 'çankiri', 'mete')",27.01833051797144
61,"('ensarioğlu', 'sacit', 'günbey')",26.993129739989303
62,"('ahat', 'andican', 'refik')",26.9783545145406
63,"('2559', 'polis', 'vazife')",26.976487820030577
64,"('rasim', 'zaimoğlu', 'gümüşhane')",26.92796372093311
65,"('teki̇rdağ', 'nihan', 'i̇lgün')",26.91192470886071
66,"('köymen', 'rasim', 'zaimoğlu')",26.896467014852327
67,"('balikesi̇r', 'safa', 'giray')",26.881910377652964
68,"('piriştina', 'rüşdü', 'saracoglu')",26.85536746500824
69,"('eyyüp', 'cenap', 'şirnak')",26.836593731116878
70,"('ataullah', 'hamidi', 'faris')",26.830373743512386
71,"('çekimserler', 'mükerrer', 'oylar')",26.822620171890886
