,bigram,PMI
0,"('mi̇llet', 'mecli̇si̇')",17.645520698343276
1,"('i̇spirto', 'i̇spirtolu')",17.555322889371702
2,"('apar', 'topar')",17.40451259883948
3,"('hadi̇', 'di̇lekçi̇')",17.075204973586523
4,"('ci̇han', 'paçaci')",17.05914862736745
5,"('remzi̇', 'çeti̇n')",17.046058627927003
6,"('tevhidi', 'tedrisat')",16.98443950966334
7,"('hali̇t', 'dağli')",16.95294922353552
8,"('gerçekleşmeyen', 'gerçekleşemeyecek')",16.83816577628567
9,"('hayri̇', 'kozakçioğlu')",16.83816577628567
10,"('i̇spirtolu', 'i̇çkiler')",16.812630684178536
11,"('bankerlerin', 'i̇şlemleri')",16.761468078726764
12,"('peş', 'peşe')",16.759177480138842
13,"('nedi̇m', 'bi̇lgi̇ç')",16.735718507314857
14,"('sebahat', 'vardar')",16.68754391323898
15,"('hani̇fi̇', 'ti̇ryaki̇')",16.667547004673274
16,"('born', 'investment')",16.609831506816985
17,"('hanifi', 'tiryaki')",16.576573344625782
18,"('torbaya', 'torbadan')",16.574775983077032
19,"('ni̇han', 'i̇lgün')",16.519989816259418
20,"('sancar', 'sayin')",16.45428656920859
21,"('başkanlarinin', 'konuşmalari')",16.367986722814365
22,"('şuayi̇p', 'üşenmez')",16.3148753863548
23,"('şoförler', 'otomobilciler')",16.309875724701406
24,"('tayfun', 'i̇çli')",16.24204973374939
25,"('haci', 'fi̇li̇z')",16.16635286164471
26,"('meral', 'akşener')",16.160093871173036
27,"('bedri̇', 'i̇ncetahtaci')",16.133185997709518
28,"('tahsin', 'boray')",16.103544122587763
29,"('ahat', 'andi̇can')",16.06055819762212
30,"('durup', 'dururken')",16.045128157052517
31,"('hürmet', 'muhabbetle')",16.017489475730237
32,"('rasi̇m', 'zai̇moğlu')",16.017489475730237
34,"('tarik', 'cengi̇z')",15.96199436313853
33,"('mücahi̇t', 'hi̇moğlu')",15.96199436313853
35,"('vahi̇t', 'kayrici')",15.948447831300582
36,"('seydişehir', 'alüminyum')",15.936434136752503
37,"('bi̇lgi̇', 'teknoloji̇')",15.921730492924802
38,"('gerçekleşemeyecek', 'projeleriniz')",15.910574271813719
39,"('anlaşmasinin', 'onaylanmasinin')",15.90405371194213
40,"('abant', 'i̇zzet')",15.890366322015469
41,"('şampiyonluğu', 'sporculara')",15.84916268576402
42,"('i̇zzet', 'baysal')",15.846962724522832
43,"('nedim', 'bilgiç')",15.818989719381083
44,"('mukadder', 'başeğmez')",15.78737221090218
45,"('bülend', 'yahni̇ci̇')",15.763915399145505
46,"('si̇na', 'gürel')",15.762877648981434
47,"('new', 'york')",15.74740031236249
48,"('birol', 'büyüköztürk')",15.743661789822438
49,"('denizlerle', 'çevrili')",15.74001133313312
50,"('abdülkadi̇r', 'akcan')",15.73571850731485
51,"('sebgetullah', 'seydaoğlu')",15.699968482365652
52,"('merve', 'safa')",15.67906887456849
53,"('deği̇şi̇kli̇k', 'yapilmasina')",15.678687562278471
54,"('madalya', 'nişanlar')",15.657493340009351
55,"('mai̇l', 'büyükerman')",15.656491816164275
56,"('fahretti̇n', 'kukaraci')",15.6555743630072
57,"('esvet', 'özdoğu')",15.651206825856368
58,"('deği̇şi̇kli̇k', 'yapilmasi')",15.613099220650897
59,"('müteaddit', 'defalar')",15.610239566511655
60,"('verilip', 'verilmeyeceğine')",15.608045992924609
61,"('akgönenç', 'muği̇suddi̇n')",15.60245197645139
62,"('metanet', 'çulhaoğlu')",15.580425670121391
63,"('i̇stemi̇han', 'talay')",15.53004348092334
64,"('tahkir', 'tezyif')",15.529914143432476
65,"('abbas', 'bozyel')",15.525540239912505
66,"('fetullah', 'gültepe')",15.51781871721779
67,"('rasim', 'zaimoğlu')",15.498294745160097
68,"('yekta', 'açikgöz')",15.41379041242749
69,"('ayvaz', 'gökdemi̇r')",15.3952940688101
70,"('cumhuri̇yeti̇', 'hükümeti̇')",15.394894596277885
71,"('muhasebeci', 'müşavirler')",15.385221260230722
72,"('müjdat', 'kayayerli̇')",15.377031862417374
73,"('hedeflerini', 'gerçekleştirebildiniz')",15.350064814817106
74,"('müjdat', 'kayayerli')",15.346004966796748
75,"('seydi', 'karakuş')",15.345151715791902
76,"('ayvaz', 'gökdemir')",15.332558313462139
77,"('hakan', 'durhan')",15.332362813083645
78,"('rahmi', 'beyreli')",15.330955991869399
79,"('komi̇syonlarda', 'açik')",15.327717383299303
80,"('düğmelerine', 'basarak')",15.294772580495415
81,"('üyeli̇klere', 'seçi̇m')",15.289035381419545
82,"('sabahatti̇n', 'yildiz')",15.285118455641273
83,"('kemik', 'iliği')",15.275102757135883
84,"('hudut', 'sahiller')",15.26708139788086
85,"('nai̇l', 'çelebi̇')",15.26365006299963
86,"('vehbi̇', 'hati̇poğlu')",15.259759064126806
87,"('kemik', 'i̇liği')",15.230855844046715
88,"('şevket', 'bülend')",15.224329692031729
89,"('fevzi̇', 'ayteki̇n')",15.220581341107744
90,"('dengi̇r', 'mi̇r')",15.206099040437472
91,"('naci̇', 'tuncer')",15.206099040437469
92,"('ediz', 'hun')",15.204948106957291
93,"('oybirliği', 'ekteki')",15.19988445697887
94,"('servis', 'alabildiniz')",15.186573839980989
95,"('grev', 'lokavt')",15.184599461565494
96,"('seçmen', 'kütükleri')",15.179683192057203
97,"('sadi', 'somuncuoğlu')",15.175116241381021
98,"('necmi̇', 'hoşver')",15.17421497941769
99,"('bildiriminin', 'sunulduğuna')",15.15473585750624
