,Frequency,PMI,t-test,Chi-Sq Test
0,"('soru', 'önergesi')","('hayati̇', 'yazici')","('soru', 'önergesi')","('gali̇p', 'ensari̇oğlu')"
1,"('önergesi', 'geliş')","('mülki̇ye', 'bi̇rtane')","('önergesi', 'geliş')","('hayati̇', 'yazici')"
2,"('i̇stanbul', 'milletvekili')","('izlenip', 'izlenmediğine')","('büyük', 'millet')","('mülki̇ye', 'bi̇rtane')"
3,"('büyük', 'millet')","('cengi̇z', 'yavi̇li̇oğlu')","('türkiye', 'büyük')","('nabi̇', 'avci')"
4,"('türkiye', 'büyük')","('fehmi̇', 'ki̇nay')","('i̇stanbul', 'milletvekili')","('refi̇k', 'eryilmaz')"
5,"('kabul', 'kabul')","('özdoğan', 'enç')","('kabul', 'kabul')","('sadi̇', 'bi̇lgi̇ç')"
6,"('başkan', 'teşekkür')","('gökcen', 'özdoğan')","('başkan', 'teşekkür')","('tasari', 'tekli̇fleri̇')"
7,"('millet', 'meclisi')","('pelin', 'gündeş')","('millet', 'meclisi')","('vahi̇t', 'ki̇ler')"
8,"('ilişkin', 'başbakandan')","('gali̇p', 'ensari̇oğlu')","('ilişkin', 'başbakandan')","('şefi̇k', 'çi̇rki̇n')"
9,"('böyle', 'bir')","('abdi', 'i̇pekçi')","('sözlü', 'soru')","('nureddi̇n', 'nebati̇')"
10,"('sözlü', 'soru')","('ekteki', 'cetveldeki')","('böyle', 'bir')","('ayli̇n', 'nazliaka')"
11,"('başbakandan', 'soru')","('bünyami̇n', 'özbek')","('oktay', 'vural')","('afi̇f', 'demi̇rkiran')"
12,"('oktay', 'vural')","('mecli̇s', 'araştirmasi')","('başbakandan', 'soru')","('mi̇llet', 'mecli̇si̇')"
13,"('dair', 'kanun')","('nejat', 'koçer')","('dair', 'kanun')","('mine', 'lök')"
14,"('ankara', 'milletvekili')","('sitki', 'güvenç')","('ankara', 'milletvekili')","('aki̇f', 'hamzaçebi̇')"
