,trigram,chi-sq
0,"('mi̇hri̇mah', 'belma', 'satir')",415192887208.76587
1,"('bölümlerinin', 'ekteki', 'cetveldeki')",392250017955.0204
2,"('çiğdem', 'münevver', 'ökten')",195130938614.29398
3,"('münevver', 'ökten', 'benimsenen')",166174070255.35492
4,"('düğmelerine', 'basarak', 'salonda')",107565383764.43953
5,"('vaki', 'davetine', 'icabetle')",101397794764.3764
6,"('rahmi̇', 'aşkin', 'türeli̇')",93718079530.94583
7,"('vergilerde', 'çifte', 'vergilendirmeyi')",76988652585.36923
8,"('zeynep', 'karahan', 'uslu')",76184629126.95868
9,"('bedi̇i̇', 'süheyl', 'batum')",75093884009.78741
10,"('şükran', 'güldal', 'mumcu')",74863905899.10733
11,"('mali̇k', 'ecder', 'özdemi̇r')",71633245810.31274
12,"('ekteki', 'cetveldeki', 'şekliyle')",67889426704.68905
13,"('taciz', 'şikayetlerine', 'işlemlere')",65559981714.88351
14,"('türkler', 'akraba', 'topluluklar')",59865267381.92218
15,"('yesevi', 'üniversitesinin', 'i̇şleyişine')",57858553028.92859
16,"('halkla', 'i̇lişkiler', 'müşavirliğinde')",54877075040.38105
17,"('oğuz', 'kağan', 'köksal')",54319784320.15018
18,"('bildirimi', 'eki', 'sunulduğuna')",45700533127.94471
19,"('medya', 'izlenip', 'izlenmediğine')",44711885100.637314
20,"('eşitliğinin', 'konulu', 'genelgesi')",43998712164.17606
21,"('mine', 'lök', 'beyaz')",43184509294.71876
22,"('adnan', 'şefi̇k', 'çi̇rki̇n')",42356569756.91792
23,"('malik', 'ecder', 'özdemir')",40794824295.49141
24,"('yazili', 'sorular', 'cevaplari')",40461950596.32676
25,"('uygunluk', 'bildiriminin', 'sunulduğuna')",38359755104.65601
26,"('cumhuri̇yeti̇', 'hükümeti̇', 'arasinda')",36740928534.7944
27,"('düşman', 'işgalinden', 'kurtuluşunun')",36729430674.72083
28,"('uygunluk', 'bildirimi', 'eki')",32485947299.721657
29,"('abant', 'i̇zzet', 'baysal')",28161065583.865078
30,"('tahsilat', 'ret', 'i̇adeler')",27727932367.596676
31,"('bölümler', 'görüşülecek', 'bölümlerde')",26215306959.401627
32,"('tasari', 'tekli̇fleri̇', 'i̇le')",26207548037.210712
33,"('tekli̇fleri̇', 'i̇le', 'komi̇syonlardan')",26152012460.08221
34,"('psikolojik', 'taciz', 'şikayetlerine')",25550969038.522938
35,"('süreyya', 'sadi̇', 'bi̇lgi̇ç')",24982452238.080112
36,"('vaki', 'davetine', 'icabet')",24195996262.46456
37,"('muhammet', 'bilal', 'maci̇t')",22714484281.744198
38,"('çifte', 'vergilendirmeyi', 'önleme')",21832367597.366745
39,"('kalem', 'müdürlüğüne', 'müşavirliğine')",21592582961.57315
40,"('kuruluşlarda', 'hizmetlerde', 'taşeronlaşmaya')",21346620283.723694
41,"('emi̇ne', 'ülker', 'tarhan')",21226860314.866913
42,"('mi̇llet', 'mecli̇si̇', 'tutanak')",20967697274.67237
43,"('i̇lişkilerinin', 'düzenlenmesi', '3620')",20240047812.361446
44,"('ayna', 'nursel', 'aydoğan')",20096331918.830696
45,"('sataşmalara', 'i̇li̇şki̇n', 'konuşmalar')",20043653163.35158
46,"('mecli̇si̇', 'tutanak', 'dergi̇si̇')",20028835971.17933
47,"('abdullah', 'nejat', 'koçer')",19519808549.46698
48,"('03', 'teşebbüs', 'mülkiyet')",19426647599.282505
49,"('bi̇rgül', 'ayman', 'güler')",19422270955.312675
50,"('görüşülmesi', 'bölümlerinin', 'ekteki')",19391010466.13444
51,"('teşebbüs', 'mülkiyet', 'gelirleri')",18723420528.639233
52,"('bankaya', 'promosyon', 'ödemesi')",18699177875.49296
53,"('veki̇li̇', 'hakki', 'köylü')",18699040316.03052
54,"('birimlerince', 'düzenlenen', 'organizasyonlara')",18605197124.331604
55,"('tabi̇i̇', 'bi̇lgi̇', 'teknoloji̇')",18427826330.456135
56,"('türki̇ye', 'cumhuri̇yeti̇', 'hükümeti̇')",17569801090.37689
57,"('bilişim', 'pardus', 'işletim')",17323415946.219902
58,"('süreyya', 'sadi', 'bilgiç')",17296327936.748028
59,"('başkani', 'lütfi̇', 'elvan')",17163890086.42308
60,"('süresi', 'i̇çinde', 'cevaplanmayan')",16514283356.489632
61,"('yardimcisi', 'beki̇r', 'bozdağ')",16063687166.455677
62,"('yildirim', 'tuğrul', 'türkeş')",15970320849.733288
63,"('hizmetlerde', 'taşeronlaşmaya', 'taşeron')",15733828395.151064
64,"('ayla', 'akat', 'ata')",14821900433.774094
65,"('cetveli̇', 'kodu', '01')",13953695764.857973
66,"('yoluyla', 'i̇şlenen', 'suçlara')",13769185482.599743
67,"('ömer', 'süha', 'aldan')",13376548028.8272
68,"('kodu', '03', 'teşebbüs')",13283800198.927553
69,"('meti̇n', 'lütfi̇', 'baydar')",12683843028.624962
70,"('yardimcisi', 'beşi̇r', 'atalay')",12638154762.043663
71,"('sanat', 'eserlerini', 'derleme')",12197767347.974003
72,"('hasan', 'fehmi̇', 'ki̇nay')",11890305789.223595
73,"('müşavirliğinde', 'personel', 'müşavirliğin')",11820845696.096775
74,"('etkilerinden', 'korunmak', 'önlemlere')",11784090656.883072
75,"('faktoring', 'finansman', 'şirketleri')",11778593249.25808
76,"('enerji̇', 'tabi̇i̇', 'kaynaklar')",10921640611.079079
77,"('ölçekli', 'i̇şletmeleri', 'geliştirme')",10477923758.539345
78,"('süreleri', 'beşer', 'konuşmalara')",10014292092.667597
79,"('sözcüsü', 'i̇lknur', 'deni̇zli̇')",9934632355.310684
80,"('amerika', 'birleşik', 'devletleri')",9912783398.017305
81,"('hükümleri', 'seçmen', 'kütükleri')",9733424387.612383
82,"('ramazan', 'keri̇m', 'özkan')",9689696903.943176
83,"('tasviplerine', 'cemil', 'çiçek')",9538758543.099787
84,"('müdürlüğüne', 'müşavirliğine', 'atanan')",9473185768.08691
85,"('denizi', 'mücavir', 'bölgelerde')",9194943980.55974
86,"('asya', 'kafkaslar', 'bölgesel')",8956678883.672825
87,"('osman', 'taney', 'korutürk')",8919207402.525953
88,"('geli̇r', 'cetveli̇', 'kodu')",8845009115.301025
89,"('i̇şlenen', 'suçlara', 'i̇lişkin')",8766754445.947716
90,"('oturum', 'başkanlarinin', 'konuşmalari')",8480222841.355806
91,"('esat', 'canan', 'süreyya')",8353680892.328727
92,"('kurt', 'esat', 'canan')",8252525323.094559
93,"('finansal', 'faktoring', 'finansman')",8193557722.759492
94,"('kadi̇r', 'gökmen', 'öğüt')",8138465171.481933
95,"('yerlerin', 'değerlendirilmesi', 'hazineye')",8083540455.549062
96,"('tutanak', 'dergi̇si̇', 'birleşim')",7914097961.123927
97,"('birgül', 'ayman', 'güler')",7738773923.24064
98,"('osman', 'aşkin', 'bak')",7724297709.275354
99,"('emi̇n', 'haluk', 'ayhan')",7653720362.763154
